status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,6005,5,6011,"{""y"": 1248, ""x"": 1182, ""u"": 1118, ""t"": 638, ""tdg"": 638, ""s"": 588, ""sdg"": 588, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3000,ibm,dynamic_payload_gates,"{""1"": 2000, ""0"": 2096}",0.51171875,cz33cja1xvhg008dzr90,ibm_brisbane,3.0,3.0,completed,0.51171875,2025-03-03T23:07:53.977Z,2025-03-03T23:08:26.101Z,2025-03-03T23:08:20.512Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:08:22', stop='2025-03-03 23:08:25', size=4096>)])",2.934591
completed,6007,5,6013,"{""x"": 1272, ""y"": 1224, ""u"": 1188, ""s"": 595, ""sdg"": 595, ""t"": 564, ""tdg"": 564, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3001,ibm,dynamic_payload_gates,"{""0"": 2174, ""1"": 1922}",0.53076171875,cz33czvh0kc00088mwng,ibm_brisbane,4.0,4.0,completed,0.53076171875,2025-03-03T23:08:47.787Z,2025-03-03T23:09:09.889Z,2025-03-03T23:08:50.630Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:09:05', stop='2025-03-03 23:09:08', size=4096>)])",3.018793
completed,6009,5,6015,"{""u"": 1208, ""y"": 1158, ""x"": 1150, ""t"": 639, ""tdg"": 639, ""s"": 605, ""sdg"": 605, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3002,ibm,dynamic_payload_gates,"{""1"": 2094, ""0"": 2002}",0.48876953125,cz33danh0kc00088mwrg,ibm_brisbane,3.0,3.0,completed,0.48876953125,2025-03-03T23:09:31.066Z,2025-03-03T23:10:49.693Z,2025-03-03T23:10:43.858Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:10:45', stop='2025-03-03 23:10:48', size=4096>)])",2.941744
completed,6011,5,6017,"{""u"": 1234, ""y"": 1208, ""x"": 1196, ""t"": 602, ""tdg"": 602, ""s"": 582, ""sdg"": 582, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3003,ibm,dynamic_payload_gates,"{""0"": 2079, ""1"": 2017}",0.507568359375,cz33e3gh0kc00088mwy0,ibm_brisbane,3.0,3.0,completed,0.507568359375,2025-03-03T23:11:10.916Z,2025-03-03T23:17:09.065Z,2025-03-03T23:17:03.001Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:17:05', stop='2025-03-03 23:17:08', size=4096>)])",2.976285
completed,6013,5,6019,"{""y"": 1238, ""x"": 1236, ""u"": 1190, ""t"": 599, ""tdg"": 599, ""s"": 573, ""sdg"": 573, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3004,ibm,dynamic_payload_gates,"{""1"": 1973, ""0"": 2123}",0.518310546875,cz33h2cp6030008c73x0,ibm_brisbane,3.0,3.0,completed,0.518310546875,2025-03-03T23:17:29.721Z,2025-03-03T23:17:38.242Z,2025-03-03T23:17:32.689Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:17:34', stop='2025-03-03 23:17:37', size=4096>)])",2.96705
completed,6015,5,6021,"{""y"": 1214, ""u"": 1192, ""x"": 1162, ""s"": 653, ""sdg"": 653, ""t"": 568, ""tdg"": 568, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3005,ibm,dynamic_payload_gates,"{""1"": 2072, ""0"": 2024}",0.494140625,cz33ha510wx0008b7yw0,ibm_brisbane,4.0,4.0,completed,0.494140625,2025-03-03T23:18:00.981Z,2025-03-03T23:19:55.666Z,2025-03-03T23:18:27.994Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:19:51', stop='2025-03-03 23:19:54', size=4096>)])",3.02786
completed,3007,7,6016,"{""u"": 1216, ""x"": 1188, ""y"": 1158, ""s"": 612, ""sdg"": 612, ""t"": 607, ""tdg"": 607, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3000,ibm,dynamic_payload_gates,"{""10"": 943, ""11"": 947, ""00"": 1206, ""01"": 1000}",0.29443359375,cz33jd139f40008s5650,ibm_brisbane,3.0,3.0,completed,0.29443359375,2025-03-03T23:20:20.182Z,2025-03-03T23:20:47.368Z,2025-03-03T23:20:37.108Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:20:43', stop='2025-03-03 23:20:46', size=4096>)])",2.446038
completed,3007,7,6018,"{""u"": 1202, ""y"": 1168, ""x"": 1122, ""t"": 641, ""tdg"": 641, ""s"": 614, ""sdg"": 614, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3001,ibm,dynamic_payload_gates,"{""00"": 1022, ""10"": 929, ""11"": 1163, ""01"": 982}",0.24951171875,cz33jsvp6030008c74k0,ibm_brisbane,4.0,4.0,completed,0.24951171875,2025-03-03T23:21:11.473Z,2025-03-03T23:23:44.100Z,2025-03-03T23:23:18.917Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:23:39', stop='2025-03-03 23:23:42', size=4096>)])",3.556765
completed,3009,7,6020,"{""u"": 1288, ""x"": 1194, ""y"": 1168, ""t"": 595, ""tdg"": 595, ""s"": 582, ""sdg"": 582, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3002,ibm,dynamic_payload_gates,"{""10"": 960, ""00"": 1079, ""11"": 1105, ""01"": 952}",0.263427734375,cz33m5rp6030008c74zg,ibm_brisbane,3.0,3.0,completed,0.263427734375,2025-03-03T23:24:07.629Z,2025-03-03T23:25:38.619Z,2025-03-03T23:25:33.607Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:25:35', stop='2025-03-03 23:25:37', size=4096>)])",2.439458
completed,3009,7,6022,"{""x"": 1260, ""y"": 1258, ""u"": 1206, ""s"": 601, ""sdg"": 601, ""t"": 540, ""tdg"": 540, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,3003,ibm,dynamic_payload_gates,"{""10"": 869, ""11"": 1174, ""01"": 957, ""00"": 1096}",0.267578125,cz33n2w10wx0008b7zs0,ibm_brisbane,3.0,3.0,completed,0.267578125,2025-03-03T23:26:03.223Z,2025-03-03T23:34:07.107Z,2025-03-03T23:34:01.906Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-03 23:34:03', stop='2025-03-03 23:34:06', size=4096>)])",2.490827
